table_no,record_name,title,year,author_st,taxonomic_group_st,issue,latin_family_name,latin_name,copyright
1,floradanica_0001.tif,Rubus Chamaemorus Linn.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Rosaceae,Rubus chamaemorus L.,free
2,floradanica_0002.tif,Pedicularis lapponica L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Pedicularis lapponica L.,free
3,floradanica_0003.tif,Linnaea borealis (Gronov.) L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caprifoliaceae,Linnaea borealis L. ssp. borealis,free
4,floradanica_0004.tif,Silene rupestris L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caryophyllaceae,Silene rupestris L.,free
5,floradanica_0005.tif,Cornus suecica L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Cornaceae,Cornus suecica L.,free
6,floradanica_0006.tif,Cerastium alpinum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caryophyllaceae,Cerastium alpinum L. ssp. alpinum,free
7,floradanica_0007.tif,Androsace septentrionalis L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Primulaceae,Androsace septentrionale L.,free
8,floradanica_0008.tif,Pyrola uniflora L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Pyrolaceae,Moneses uniflora (L.) A.Gray,free
9,floradanica_0009.tif,Azalea procumbens L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Loiseleuria procumbens (L.) Desv.,free
10,floradanica_0010.tif,Andromeda hypnoides L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Cassiope hypnoides (L.) D. Don,free
11,floradanica_0011.tif,Thalictrum alpinum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ranunculaceae,Thalictrum alpinum L.,free
12,floradanica_0012.tif,Stellaria biflora L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caryophyllaceae,Minuartia biflora (L.) Schinz & Thell.,free
13,floradanica_0013.tif,Polygonum viviparum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Polygonaceae,Bistorta vivipara (L.) S. F. Gray,free
14,floradanica_0014.tif,Rumex digynus L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Polygonaceae,Oxyria digyna (L.) Hill.,free
15,floradanica_0015.tif,Zostera marina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Zosteraceae,Zostera marina L.,free
16,floradanica_0016.tif,Veronica alpina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Veronica alpina L.,free
17,floradanica_0017.tif,Gentiana nivalis L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Gentianaceae,Gentiana nivalis L.,free
18,floradanica_0018.tif,Lunaria racemosa multifido folio Breyn / Osmunda Lunaria L. / Lunaria racemosa minor adianti folio,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ophioglossaceae,Botrychium virginianum (L.) Swartz in Schrader,free
19,floradanica_0019.tif,Ranunculus glacialis L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ranunculaceae,Ranunculus glacialis L.,free
20,floradanica_0020.tif,Cardamine bellidifolia L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Brassicaceae,Cardamine bellidifolia L.,free
21,floradanica_0021.tif,Cucubalus acaulis L. (Syst. nat),1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Caryophyllaceae,Silene acaulis (L.) Jacq.,free
22,floradanica_0022.tif,Saxifraga cernua L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Saxifragaceae,Saxifraga sp.,free
23,floradanica_0023.tif,Saxifraga stellaris L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Saxifragaceae,Saxifraga stellaris L.,free
24,floradanica_0024.tif,Sedum villosum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Crassulaceae,Sedum villosum L.,free
25,floradanica_0025.tif,Pulmonaria maritima L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Boraginaceae,Mertensia maritima (L.) S. F. Gray,free
26,floradanica_0026.tif,Pedicularis Sceptrum carolinum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Pedicularis sceptrum-carolinum L.,free
27,floradanica_0027.tif,Hieracium alpinum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Asteraceae,Hieracium alpinum L.,free
28,floradanica_0028.tif,Saxifraga nivalis L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Saxifragaceae,Saxifraga nivalis L.,free
29,floradanica_0029.tif,Anemone vernalis L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ranunculaceae,Pulsatilla vernalis (L.) Miller,free
30,floradanica_0030.tif,Pedicularis flammea Oed. (non L.),1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Pedicularis oederi Vahl in Hornem.,free
31,floradanica_0031.tif,Dryas octopetala L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Rosaceae,Dryas octopetala L.,free
32,floradanica_0032.tif,Sibbaldia procumbens L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Rosaceae,Sibbaldia procumbens L.,free
33,floradanica_0033.tif,Arbutus Uva ursi L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Arctostaphylos uva-ursi (L.) Spreng.,free
34,floradanica_0034.tif,Saxifraga oppositifolia L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Saxifragaceae,Saxifraga oppositifolia L.,free
35,floradanica_0035.tif,Subularia aquatica L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Brassicaceae,Subularia aquatica L.,free
36,floradanica_0036.tif,Anthericum calyculatum Oed.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Liliaceae,Tofielda pusilla (Michx.) Pers.,free
37,floradanica_0037.tif,Serratula alpina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Asteraceae,Saussurea alpina (L.) DC.,free
38,floradanica_0038.tif,Erica cinerea L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Erica cinerea L.,free
39,floradanica_0039.tif,Lobelia Dortmanna L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Campanulaceae,Lobelia dortmanna L.,free
40,floradanica_0040.tif,Vaccinium Vitis idaea L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Vaccinium vitis-idaea L. ssp. vitis-idaea,free
41,floradanica_0041.tif,Papaver nudicaule L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Papaveraceae,Papaver radicatum Rottb.,free
42,floradanica_0042.tif,Anthericum Ossifragum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Liliaceae,Narthecium ossifragum (L.) Hudson,free
43,floradanica_0043.tif,Bartsia alpina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Bartsia alpina L.,free
44,floradanica_0044.tif,Buxbaumia aphylla L.,1761,G. C. Oeder,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,,,free
45,floradanica_0045.tif,Blasia pusilla L.,1761,G. C. Oeder,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,,,free
46,floradanica_0046.tif,Viola biflora L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Violaceae,Viola biflora L.,free
47,floradanica_0047.tif,Diapensia lapponica L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Diapensiaceae,Diapensia lapponica L.,free
48,floradanica_0048.tif,Galium trifidum L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Rubiaceae,Galium trifidum L.,free
49,floradanica_0049.tif,Alchemilla alpina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Rosaceae,Alchemilla alpina L.,free
50,floradanica_0050.tif,Gentiana purpurea L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Gentianaceae,Gentiana purpurea L.,free
51,floradanica_0051.tif,Astragalus alpinus L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Fabaceae,Astragalus alpinus L.,free
52,floradanica_0052.tif,Veronica spicata L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Scrophulariaceae,Veronica spicata L.,free
53,floradanica_0053.tif,Phallus esculentus L.,1761,G. C. Oeder,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,,Morchella esculenta (L.) Pers.,free
54,floradanica_0054.tif,Andromeda polifolia L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Andromeda polifolia L.,free
55,floradanica_0055.tif,Pyrola minor L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Pyrolaceae,Pyrola minor L.,free
56,floradanica_0056.tif,Draba alpina L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Brassicaceae,Draba alpina L.,free
57,floradanica_0057.tif,Andromeda coerulea L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Ericaceae,Phyllodoce caerulea (L.) Bab.,free
58,floradanica_0058.tif,Vicia lathyroides L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Fabaceae,Vicia lathyroides L.,free
59,floradanica_0059.tif,Sedum rupestre Oed. (non L.),1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Crassulaceae,Sedum annuum L.,free
60,floradanica_0060.tif,Acrostichon septentrionale L.,1761,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  1,Aspleniaceae,Asplenium septentrionale (L.) Hoffm.,free
61,floradanica_0061.tif,Tussilago frigida L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Asteraceae,Petasites frigidus (L.) Fries,free
62,floradanica_0062.tif,Arabis alpina L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Brassicaceae,Arabis alpina L.,free
63,floradanica_0063.tif,Arnica montana L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Asteraceae,Arnica montana L.,free
64,floradanica_0064.tif,Peplis portula L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Lythraceae,Peplis portula,free
65,floradanica_0065.tif,Lychnis alpina L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Caryophyllaceae,Lychnis alpina L. ssp. alpina,free
66,floradanica_0066.tif,Sedum album L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Crassulaceae,Sedum album L.,free
67,floradanica_0067.tif,Zannichellia palustris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Zannichelliaceae,Zannichellia palustris L. s.l.,free
68,floradanica_0068.tif,Saxifraga sp. (petraea L.)?,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Saxifragaceae,Saxifraga adscendens L.,free
69,floradanica_0069.tif,Limosella aquatica L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Scrophulariaceae,Limosella aquatica L.,free
70,floradanica_0070.tif,Lycopodium selaginoides L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Selaginellaceae,Selaginella selaginoides (L.) Beauv. ex Schrank & C. P. F. Mart.,free
71,floradanica_0071.tif,Saxifraga caespitosa? Oed.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Saxifragaceae,Saxifraga cespitosa L.,free
72,floradanica_0072.tif,Saxifraga autumnalis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Saxifragaceae,Saxifraga aizoides L.,free
73,floradanica_0073.tif,Arbutus alpina L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Ericaceae,Arctostaphylos alpina (L.) Spreng.,free
74,floradanica_0074.tif,Digitalis.purpurea L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Scrophulariaceae,Digitalis purpurea L.,free
75,floradanica_0075.tif,Hypericum pulchrum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Clusiaceae,Hypericum pulchrum L.,free
76,floradanica_0076.tif,Scheuchzeria palustris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Scheuchzeriaceae,Scheuchzeria palustris L.,free
77,floradanica_0077.tif,Satyrium viride L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Orchidaceae,Coeloglossum viride (L.) Hartm.,free
78,floradanica_0078.tif,Lycopodium complanatum L. 7),1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Lycopodiaceae,Diphasiastrum sp.,free
79,floradanica_0079.tif,Lycopodium alpinum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Lycopodiaceae,Diphasiastrum alpinum (L.) J. Holub,free
80,floradanica_0080.tif,Vaccinium Oxycoccus L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Ericaceae,Vaccinium oxycoccos L. ssp. oxycoccos,free
81,floradanica_0081.tif,Erica Tetralix L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Ericaceae,Erica tetralix L.,free
82,floradanica_0082.tif,An Sedum saxatile atrorub.floribus C.Bauh?,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Crassulaceae,Sedum anglicum Hudson,free
83,floradanica_0083.tif,Viola palustris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Violaceae,Viola palustris L.,free
84,floradanica_0084.tif,Trientalis europaea L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Primulaceae,Trientalis europaea L.,free
85,floradanica_0085.tif,Campanula latifolia L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Campanulaceae,Campanula latifolia L.,free
86,floradanica_0086.tif,Convallaria verticillata L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Liliaceae,Polygonatum verticillatum (L.) All.,free
87,floradanica_0087.tif,Hippuris vulgaris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Hippuridaceae,Hippuris vulgaris L.,free
88,floradanica_0088.tif,Anagallis arvensis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Primulaceae,Anagallis arvensis L.,free
89,floradanica_0089.tif,Sison inundatum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Apiaceae,Apium inundatum (L.) Reichenb. fil.,free
90,floradanica_0090.tif,Hydrocotyle vulgaris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Apiaceae,Hydrocotyle vulgaris L.,free
91,floradanica_0091.tif,Betula nana L. 9),1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Betulaceae,Betula nana L.,free
92,floradanica_0092.tif,Stellaria sp.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Caryophyllaceae,Cerastium cerastoides (L.) Britton,free
93,floradanica_0093.tif,Pinguicula vulgaris L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Lentibulariaceae,Pinguicula vulgaris L.,free
94,floradanica_0094.tif,Adoxa moschatellina L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Adoxaceae,Adoxa moschatellina L.,free
95,floradanica_0095.tif,Ervum tetraspermum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Fabaceae,Vicia tetrasperma (L.) Schreber,free
96,floradanica_0096.tif,Spergula nodosa L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Caryophyllaceae,Sagina nodosa (L.) Fenzl,free
97,floradanica_0097.tif,Sanguisorba officinalis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Rosaceae,Sanguisorba officinalis L.,free
98,floradanica_0098.tif,Vicia cassubica Oed.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Fabaceae,Vicia orobus DC.,free
99,floradanica_0099.tif,Osmunda Spicant L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Blechnaceae,Blechnum spicant (L.) Roth,free
100,floradanica_0100.tif,Cochlearia danica L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Brassicaceae,Cochlearia danica L.,free
101,floradanica_0101.tif,Cistus Helianthemum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Cistaceae,Helianthemum nummularium (L.) Miller ssp. obscurum (Celak.) J. Holub,free
102,floradanica_0102.tif,Ophrys Monorchis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Orchidaceae,Herminium monorchis (L.) R.Br. in Aiton,free
103,floradanica_0103.tif,Ophrys anthropophora Oed.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Orchidaceae,Orchis ustulata L.,free
104,floradanica_0104.tif,Lycopodium Selago,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Lycopodiaceae,Huperzia selago (L.) Bernh. ex Schrank & C. P. F. Mart. ssp. selago,free
105,floradanica_0105.tif,Peziza lentifera L.,1763,G. C. Oeder,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,,Cyathus Crucibulum Hoffm.,free
106,floradanica_0106.tif,Fucus siliquosus L.,1763,G. C. Oeder,Alger,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,,Halidrys siliquosa (L.)Lgb.(Cystoseira siliq.Ag.),free
107,floradanica_0107.tif,Juncus trifidus L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Juncaceae,Juncus trifidus L.,free
108,floradanica_0108.tif,Ranunculus reptans L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Ranunculaceae,Ranunculus reptans L.,free
109,floradanica_0109.tif,Carduus heterophyllus L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Asteraceae,Cirsium helenioides (L.) Hill,free
110,floradanica_0110.tif,Pyrola rotundifolia Oed.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Pyrolaceae,Pyrola media Swartz,free
111,floradanica_0111.tif,Ranunculus aconitifolius L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Ranunculaceae,Ranunculus platanifolius L.,free
112,floradanica_0112.tif,Mespilus Cotoneaster L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Rosaceae,Cotoneaster integerrimus Medicus,free
113,floradanica_0113.tif,Sedum reflexum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Crassulaceae,Sedum reflexum L.,free
114,floradanica_0114.tif,Potentilla aurea L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Rosaceae,Potentilla crantzii (Cr.) G. Beck,free
115,floradanica_0115.tif,Satyrium albidum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Orchidaceae,Gymnadenia albida (L.) L. C. M. Richard,free
116,floradanica_0116.tif,Elvela Mitra L.,1763,G. C. Oeder,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,,Helvella Mitra L.,free
117,floradanica_0117.tif,Salix herbacea L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Salicaceae,Salix herbacea L.,free
118,floradanica_0118.tif,Saxifraga rivularis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Saxifragaceae,Saxifraga rivularis L.,free
119,floradanica_0119.tif,Asplenium Trichomanes L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Aspleniaceae,Asplenium trichomanes L. ssp. trichomanes,free
120,floradanica_0120.tif,Juncus biglumis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Juncaceae,Juncus biglumis L.,free
121,floradanica_0121.tif,Dracocephalum Ruyschiana L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Lamiaceae,Dracocephalum ruyschiana L.,free
122,floradanica_0122.tif,Alisma ranunculoides L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Alismataceae,Baldellia ranunculoides (L.) Parl.,free
123,floradanica_0123.tif,Aconitum Lycoctonum L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Ranunculaceae,Aconitum lycoctonum L. ssp. lycoctonum,free
124,floradanica_0124.tif,Geranium silvaticum L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Geraniaceae,Geranium sylvaticum L.,free
